Product Name,Item Number,Product Image,Description,Overview,Feature 1,Feature 2,Feature 3,Feature 4,CS,Size,Price,Price 1-5 Cases,Price 6-29 Cases,Price 30+ Cases,productFamily,variantLabel,sellByEach,priceBy,weight,length,width,height
7.6x8.9 Empress™ 2-Ply Center Pull Virgin Towel,CP 660010,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-2-ply-center-pull-virgin-towel.jpg,"Size: 7.6"" x 8.9"" | Weight: 22 lbs | Material: Virgin Fiber 2-Ply Towel | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ 2-Ply Center Pull Virgin Towel for hotels, motels, resorts, and commercial facilities — An economical and smart choice for hand drying needs. Absorbs water quickly for superior hand drying and convenient one-handed dispensing. Room Ready Supply supplies this empress™ 2-ply center pull virgin towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",One-handed dispensing convenience,Fast water absorption,Virgin fiber quality,Commercial restroom ready,6 Rolls,"7.6"" x 8.9""",33.47,33.47,31.73,30.24,,,,CASE,22,22,15,9.5
500' Sofidel Double Layer Center Pull Towel,410081,https://res.cloudinary.com/ddx3g4yse/image/upload/sofidel-double-layer-center-pull-towel.jpg,"Size: 500' | Weight: 23 lbs | Material: Virgin Pulp, Embossed 2-Ply | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Sofidel Double Layer Center Pull Towel for hotels, motels, resorts, and commercial facilities — Virgin pulp material. Embossed. White. Towels per roll: 600. Roll diameter: 7.28"". Designed for reliable absorbency and performance. Room Ready Supply supplies this sofidel double layer center pull towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Double-layer construction,Embossed texture for absorbency,Virgin pulp material,High-capacity roll design,6,500',34.51,34.51,32.72,31.18,,,,CASE,23,22,15,10
85ct. Green® Heritage Pro Kitchen Roll Towel,585,https://res.cloudinary.com/ddx3g4yse/image/upload/green-heritage-pro-kitchen-roll-towel.jpg,Size: 85 ct. | Weight: 20 lbs | Material: 2-Ply Recycled Fiber Paper Towel | Case Quantity: 30 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Green® Heritage Pro Kitchen Roll Towel for hotels, motels, resorts, and commercial facilities — Delivers value, sustainability, visual appeal, softness and strength customers need. SFI® Certified. 2 ply. Room Ready Supply supplies this green® heritage pro kitchen roll towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Sustainable paper solution,Strong absorbent performance,Soft 2-ply construction,SFI® Certified product,30,85 ct.,34.17,34.17,32.40,30.88,,,,CASE,20,23,15,12
85ct. NOVA® 2 Ply Kitchen Roll Towel,NOVA 3085,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-2-ply-kitchen-roll-towel.jpg,Size: 85 ct. | Weight: 21 lbs | Material: 2-Ply Paper Towel | Case Quantity: 30 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale NOVA® 2 Ply Kitchen Roll Towel for hotels, motels, resorts, and commercial facilities — Nova paper towels offer versatility and durability for various cleaning tasks. Strong two-ply design efficiently handles spills and messes while remaining gentle on surfaces. Room Ready Supply supplies this nova® 2 ply kitchen roll towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Durable 2-ply construction,Handles spills effectively,Gentle on surfaces,Reliable absorbency,30/rl,85 ct.,34.87,34.87,33.06,31.51,,,,CASE,21,23,15,12
9.05x9.25 Morcon® Morsoft® Multifold Towel,R720,https://res.cloudinary.com/ddx3g4yse/image/upload/morcon-morsoft-multifold-towel.jpg,"Size: 9.05"" x 9.25"" | Weight: 27 lbs | Material: Multifold Paper Towel, Post-Consumer Content | Case Quantity: 16/250 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Morcon® Morsoft® Multifold Towel for hotels, motels, resorts, and commercial facilities — Perfect for commercial restrooms, kitchens and offices. Economical and reliable. Compatible with most standard multifold dispensers. Meets EPA guidelines for post-consumer content. Room Ready Supply supplies this morcon® morsoft® multifold towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Fits standard multifold dispensers,Reliable hand drying performance,EPA-compliant paper product,Cost-effective solution,16/250,"9.05"" x 9.25""",28.92,28.92,27.42,26.13,,,,CASE,27,23.5,15.5,9.5
9.05x9.25 Morcon® Valay® Multifold Towel,VT1106,https://res.cloudinary.com/ddx3g4yse/image/upload/morcon-valay-multifold-towel.jpg,"Size: 9.05"" x 9.25"" | Weight: 28 lbs | Material: Multifold Paper Towel, Post-Consumer Content | Case Quantity: 16/250 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Morcon® Valay® Multifold Towel for hotels, motels, resorts, and commercial facilities — Economical and reliable choice for commercial restrooms, restaurants and breakrooms. Compatible with standard multifold dispensers. Meets EPA guidelines for post-consumer content. Room Ready Supply supplies this morcon® valay® multifold towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Universal dispenser compatibility,Reliable drying performance,EPA-compliant paper product,Ideal for high-traffic restrooms,16/250,"9.05"" x 9.25""",32.75,32.75,31.05,29.60,,,,CASE,28,23.5,15.5,9.5
8x350' NOVA® Hardwound Towel,NOVA 350N,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-hardwound-towel.jpg,"Size: 8"" x 350' | Weight: 20 lbs | Material: Hardwound Roll Towel | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale NOVA® Hardwound Towel for hotels, motels, resorts, and commercial facilities — Practical and efficient solution for everyday cleaning needs. Designed for high-traffic environments with reliable absorbency and performance. Room Ready Supply supplies this nova® hardwound towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",High-capacity roll format,Reliable absorbency,Designed for high-traffic areas,Efficient dispensing system,12,"8"" x 350'",26.92,26.92,25.52,24.33,NOVA® Hardwound Towel,"8"" × 350' / Kraft",,CASE,20,24,16,8.5
8x800' NOVA® Hardwound Towel,NOVA 800N,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-hardwound-towel.jpg,"Size: 8"" x 800' | Weight: 22.5 lbs | Material: Hardwound Roll Towel | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale NOVA® Hardwound Towel for hotels, motels, resorts, and commercial facilities — Practical and efficient solution for everyday cleaning needs. Designed for high-traffic environments with reliable absorbency and performance. Room Ready Supply supplies this nova® hardwound towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",High-capacity roll format,Reliable absorbency,Designed for high-traffic areas,Efficient dispensing system,12,"8"" x 800'",34.43,34.43,32.64,31.11,NOVA® Hardwound Towel,"8"" × 800' / Kraft",,CASE,22.5,24.5,16.5,9
8x350' NOVA® Hardwound Towel,NOVA 350W,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-hardwound-towel.jpg,"Size: 8"" x 350' | Weight: 21.5 lbs | Material: Hardwound Roll Towel | Case Quantity: 12 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale NOVA® Hardwound Towel for hotels, motels, resorts, and commercial facilities — Practical and efficient solution for everyday cleaning needs. Designed for high-traffic environments with reliable absorbency and performance. Room Ready Supply supplies this nova® hardwound towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",High-capacity roll format,Reliable absorbency,Designed for high-traffic areas,Efficient dispensing system,6,"8"" x 350'",29.24,29.24,27.72,26.43,NOVA® Hardwound Towel,"8"" × 350' / White",,CASE,21.5,24,16,8.5
8x800' NOVA® Hardwound Towel,NOVA 800W,https://res.cloudinary.com/ddx3g4yse/image/upload/nova-hardwound-towel.jpg,"Size: 8"" x 800' | Weight: 24 lbs | Material: Hardwound Roll Towel | Case Quantity: 6 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale NOVA® Hardwound Towel for hotels, motels, resorts, and commercial facilities — Practical and efficient solution for everyday cleaning needs. Designed for high-traffic environments with reliable absorbency and performance. Room Ready Supply supplies this nova® hardwound towel in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",High-capacity roll format,Reliable absorbency,Designed for high-traffic areas,Efficient dispensing system,6,"8"" x 800'",35.90,35.90,34.04,32.44,NOVA® Hardwound Towel,"8"" × 800' / White",,CASE,24,24.5,16.5,9
Empress™ Blue Nitrile Powder Free Gloves,ENPFS2001,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-blue-nitrile-powder-free-gloves.jpg,"Size: Small | Weight: 15 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Designed for precision and comfort while offering a secure fit without sacrificing tactile sensitivity. Suitable for medical, laboratory and food handling applications. Room Ready Supply supplies this empress™ blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Powder-free design,Excellent tactile sensitivity,Comfortable secure fit,Reliable barrier protection,10/100,Small,43.47,43.47,41.22,39.28,Empress™ Blue Nitrile Gloves,Small,,CASE,15,14,11,10
Empress™ Blue Nitrile Powder Free Gloves,ENPFM2002,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-blue-nitrile-powder-free-gloves.jpg,"Size: Medium | Weight: 15.3 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Designed for precision and comfort while offering a secure fit without sacrificing tactile sensitivity. Suitable for medical, laboratory and food handling applications. Room Ready Supply supplies this empress™ blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Powder-free design,Excellent tactile sensitivity,Comfortable secure fit,Reliable barrier protection,10/100,Medium,43.47,43.47,41.22,39.28,Empress™ Blue Nitrile Gloves,Medium,,CASE,15.3,14,11,10
Empress™ Blue Nitrile Powder Free Gloves,ENPFL2003,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-blue-nitrile-powder-free-gloves.jpg,"Size: Large | Weight: 15.6 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Designed for precision and comfort while offering a secure fit without sacrificing tactile sensitivity. Suitable for medical, laboratory and food handling applications. Room Ready Supply supplies this empress™ blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Powder-free design,Excellent tactile sensitivity,Comfortable secure fit,Reliable barrier protection,10/100,Large,43.47,43.47,41.22,39.28,Empress™ Blue Nitrile Gloves,Large,,CASE,15.6,14,11,10.2
Empress™ Blue Nitrile Powder Free Gloves,ENPFXL2004,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-blue-nitrile-powder-free-gloves.jpg,"Size: XL | Weight: 16 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Designed for precision and comfort while offering a secure fit without sacrificing tactile sensitivity. Suitable for medical, laboratory and food handling applications. Room Ready Supply supplies this empress™ blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Powder-free design,Excellent tactile sensitivity,Comfortable secure fit,Reliable barrier protection,10/100,XL,43.47,43.47,41.22,39.28,Empress™ Blue Nitrile Gloves,XL,,CASE,16,14,11,10.5
Empress™ Exam Grade Blue Nitrile Powder Free Gloves,ENES2001,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-exam-grade-blue-nitrile-powder-free-gloves.jpg,"Size: Small | Weight: 15.5 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Exam Grade Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Engineered for superior protection and comfort. Meets stringent medical standards. Powder-free design eliminates potential irritants. Excellent resistance to chemicals and punctures. Room Ready Supply supplies this empress™ exam grade blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Exam-grade protection,Powder-free comfort,Chemical resistance,Puncture-resistant construction,10/100,Small,45.18,45.18,42.84,40.83,Empress™ Exam Grade Nitrile Gloves,Small,,CASE,15.5,14,11,10
Empress™ Exam Grade Blue Nitrile Powder Free Gloves,ENEM2002,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-exam-grade-blue-nitrile-powder-free-gloves.jpg,"Size: Medium | Weight: 15.8 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Exam Grade Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Engineered for superior protection and comfort. Meets stringent medical standards. Powder-free design eliminates potential irritants. Excellent resistance to chemicals and punctures. Room Ready Supply supplies this empress™ exam grade blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Exam-grade protection,Powder-free comfort,Chemical resistance,Puncture-resistant construction,10/100,Medium,45.18,45.18,42.84,40.83,Empress™ Exam Grade Nitrile Gloves,Medium,,CASE,15.8,14,11,10
Empress™ Exam Grade Blue Nitrile Powder Free Gloves,ENEL2003,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-exam-grade-blue-nitrile-powder-free-gloves.jpg,"Size: Large | Weight: 16.1 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Exam Grade Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Engineered for superior protection and comfort. Meets stringent medical standards. Powder-free design eliminates potential irritants. Excellent resistance to chemicals and punctures. Room Ready Supply supplies this empress™ exam grade blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Exam-grade protection,Powder-free comfort,Chemical resistance,Puncture-resistant construction,10/100,Large,45.18,45.18,42.84,40.83,Empress™ Exam Grade Nitrile Gloves,Large,,CASE,16.1,14,11,10.2
Empress™ Exam Grade Blue Nitrile Powder Free Gloves,ENEXL2004,https://res.cloudinary.com/ddx3g4yse/image/upload/empresstm-exam-grade-blue-nitrile-powder-free-gloves.jpg,"Size: XL | Weight: 16.5 lbs | Material: 100% Nitrile, Powder-Free | Case Quantity: 10/100 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Wholesale Empress™ Exam Grade Blue Nitrile Powder Free Gloves for hotels, motels, resorts, and commercial facilities — Engineered for superior protection and comfort. Meets stringent medical standards. Powder-free design eliminates potential irritants. Excellent resistance to chemicals and punctures. Room Ready Supply supplies this empress™ exam grade blue nitrile powder free gloves in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Exam-grade protection,Powder-free comfort,Chemical resistance,Puncture-resistant construction,10/100,XL,45.18,45.18,42.84,40.83,Empress™ Exam Grade Nitrile Gloves,XL,,CASE,16.5,14,11,10.5
Dial® Gold Antimicrobial Liquid Hand Soap,88047,https://res.cloudinary.com/ddx3g4yse/image/upload/dial-gold-antimicrobial-liquid-hand-soap.jpg,Size: Gal. | Weight: 37 lbs | Material: Antimicrobial Liquid Formula | Case Quantity: 4 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Dial® Gold Antimicrobial Liquid Hand Soap for hotels, motels, resorts, and commercial facilities — Kills 99.9% of germs encountered in away-from-home settings. Specially formulated for frequent hand washes. Dermatologist-tested. Gently cleanses skin without drying. Room Ready Supply supplies this dial® gold antimicrobial liquid hand soap in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Kills 99.9% of germs,Dermatologist tested,Gentle on skin,Designed for frequent handwashing,4,Gal.,102.11,102.11,95.53,88.94,,,,CASE,37,13,13,13
Performance Plus™ White Lotion Skin Cleanser,PP-28130,https://res.cloudinary.com/ddx3g4yse/image/upload/performance-plustm-white-lotion-skin-cleanser.jpg,Size: Gal. | Weight: 37 lbs | Material: Lotionized Liquid Soap with Emollients | Case Quantity: 4 | Packaging: Wholesale case pack for cost-effective bulk purchasing,"Wholesale Performance Plus™ White Lotion Skin Cleanser for hotels, motels, resorts, and commercial facilities — A white lotionized liquid soap with mild detergents and emollients. Long lasting abundant lather effectively cleans hands and body. Leaves skin smooth and soft with a pleasant almond fragrance. Room Ready Supply supplies this performance plus™ white lotion skin cleanser in wholesale case quantities, ensuring your hotel or motel gets reliable, top-quality supplies at competitive prices. We offer fast wholesale delivery and dedicated customer service to help you maintain high guest standards while staying within budget.",Rich lotionized formula,Mild detergents and emollients,Leaves skin soft and smooth,Pleasant almond fragrance,4,Gal.,47.97,47.97,44.88,41.78,,,,CASE,37,13,13,13
"Economy 12x12 Wash Cloths - White, 50 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-WCL-12X12-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260977/ewashcloth.png,"Size: 12"" × 12"" | Weight: 0.1 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 600 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Wash Cloth is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 12 x 12 inches. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Economy-tier commercial cotton terry,12 x 12 inch guest-ready size,Withstands repeated industrial laundering,Cost-effective for high-turnover properties,600,"12"" × 12""",3.03,151.74,141.28,133.95,Wash Cloth,"Economy 12"" × 12""",50,DOZEN,0.1,12,12,0.1
"Economy 16x27 Hand Towels - White, 10 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-HTW-16X27-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/ehandtowel.png,"Size: 16"" × 27"" | Weight: 0.35 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 120 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Hand Towel is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 16 x 27 inches. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Economy hospitality-grade cotton terry,16 x 27 inch guest bathroom size,Built for frequent commercial laundering,Budget-friendly for large linen programs,120,"16"" × 27""",9.64,96.43,89.78,85.12,Hand Towel,"Economy 16"" × 27""",10,DOZEN,0.35,16,27,0.15
"Economy 22x44 Bath Towels - White, 10 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-BTW-22X44-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/ebathtowel.png,"Size: 22"" × 44"" | Weight: 1.0 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 120 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Bath Towel is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 22 x 44. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Economy-grade cotton terry construction,22 x 44 inch standard bath size,Reliable absorbency for daily guest use,Holds up to industrial wash cycles,120,"22"" × 44""",18.17,181.69,169.16,160.38,Bath Towel,"Economy 22"" × 44""",10,DOZEN,1,22,44,0.2
"Economy 24x48 Bath Towels - White, 5 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-BTW-24X48-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/ebathtowel.png,"Size: 24"" × 48"" | Weight: 1.2 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Bath Towel is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 24 x 48. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Larger 24 x 48 inch economy format,Resists pilling through repeat laundering,Consistent sizing across full case packs,Ideal for multi-property linen programs,60,"24"" × 48""",25.36,126.82,118.08,111.96,Bath Towel,"Economy 24"" × 48""",5,DOZEN,1.2,24,48,0.2
"Economy 24x50 Bath Towels - White, 5 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-BTW-24X50-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260974/ebathtowel.png,"Size: 24"" × 50"" | Weight: 1.3 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Bath Towel is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 24 x 50. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Extended 24 x 50 inch economy length,Consistent economy-tier quality standard,Suited to daily-turnover properties,Cost-effective linen inventory management,60,"24"" × 50""",28.41,142.05,132.25,125.40,Bath Towel,"Economy 24"" × 50""",5,DOZEN,1.3,24,50,0.2
"Economy 20x30 Bath Mats - White, 5 Dozen Case – Made from 100% Durable Cotton",RDU-TWL-BMT-20X30-ECO,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260977/ebathmatt.png,"Size: 20"" × 30"" | Weight: 1.5 lbs | Material: Cotton/Polyester Terry Blend (Economy Grade) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Economy Bath Mat is designed for affordable, high-turnover towel programs in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 20 x 30 inches. Made from 100% durable cotton terry, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",20 x 30 inch guest bathroom fit,Absorbent cotton terry surface,Helps reduce bathroom slip hazards,Economical for large-scale replacement,60,"20"" × 30""",20.29,101.45,94.45,89.56,Bath Mat,"Economy 20"" × 30""",5,DOZEN,1.5,20,30,0.35
"Premium 12x12 Wash Cloths - White, 25 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-WCL-12X12-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/pwashcloth.png,"Size: 12"" × 12"" | Weight: 0.15 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 300 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Wash Cloth is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 12 x 12 inches. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Premium-density cotton terry weave,12 x 12 inch standard wash cloth size,Softer hand-feel than economy tier,Maintains texture through commercial laundering,300,"12"" × 12""",5.02,125.61,116.94,110.88,Wash Cloth,"Premium 12"" × 12""",25,DOZEN,0.15,12,12,0.12
"Premium 13x13 Wash Cloths - White, 25 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-WCL-13X13-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260976/pwashcloth.png,"Size: 13"" × 13"" | Weight: 0.18 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 300 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Wash Cloth is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 13 x 13. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",13 x 13 inch premium wash cloth size,Coordinates with matching premium linen set,"Softer, fuller feel for guests",Durable through repeated commercial washing,300,"13"" × 13""",8.07,201.73,187.82,178.08,Wash Cloth,"Premium 13"" × 13""",25,DOZEN,0.18,13,13,0.12
"Premium 16x30 Hand Towels - White, 5 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-HTW-16X30-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260981/phandtowel.png,"Size: 16"" × 30"" | Weight: 0.5 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Hand Towel is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 16 x 30 inches. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",16 x 30 inch premium hand towel size,Improved softness and absorbency,Elevated guest bathroom presentation,Consistent quality through repeated laundering,60,"16"" × 30""",16.83,84.14,78.34,74.28,Hand Towel,"Premium 16"" × 30""",5,DOZEN,0.5,16,30,0.18
"Premium 24x48 Bath Towels - White, 5 Dozen Case – Made from 1 lb Material, 86% Cotton, 14% Polyester",RDU-TWL-BTW-24X48-PRM,https://res.cloudinary.com/ddx3g4yse/image/upload/v1783260980/pbath_towel.png,"Size: 24"" × 48"" | Weight: 1.5 lbs | Material: Cotton/Polyester Terry Blend (Premium Density) | Case Quantity: 60 | Packaging: Wholesale case pack for cost-effective bulk purchasing","Premium Bath Towel is designed for upgraded guest bathrooms that need better softness and absorbency in hotels, motels, vacation rentals, and other commercial hospitality properties. Size: 24 x 48. Made from 1 lb material blend, 86% cotton / 14% polyester, it supports repeated commercial laundering while keeping a clean, consistent guest-room presentation.",Premium-density terry for a plush feel,24 x 48 inch standard premium size,Built for commercial laundry durability,Differentiates guest bath experience,60,"24"" × 48""",33.48,167.42,155.88,147.80,Bath Towel,"Premium 24"" × 48""",5,DOZEN,1.5,24,48,0.25
